PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224165616,20061953,0,2020-03-30T20:27:00,"200 Block Kennedy Ave Pittsburgh, PA 15214",N,Perry South,1,99,8106 Shots Fired,2615,1,1,-80.0104557224723,40.4742894304884
224166268,20057334,6,2020-03-23T14:25:00,"500 Block Boggs Ave Pittsburgh, PA 15211",Y,Mount Washington,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 2705 Recklessly Endangering Another Person.,1915,2,5,-80.0101142012155,40.4229592987074
224166324,20061985,10,2020-03-30T22:00:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,HARRASSMENT,2709(a) Harassment.,509,6,3,-79.9738397090324,40.4509833047534
224376616,20064952,99,2020-04-04T18:30:00,"500 Block S Negley Ave Pittsburgh, PA 15232",N,Shadyside,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),709,9,2,-79.9277273373805,40.4678194981381
224396145,20065624,6,2020-04-05T22:00:00,"300 Block Heldman St Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT FROM AUTO,3934 Theft from Vehicle,305,,,0,0
224399139,20065637,0,2020-04-05T22:00:00,"1600 Block Barbadoes Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1918,4,5,-80.0128231819286,40.3853342617311
224028317,20059366,6,2020-03-26T16:30:00,"2400 Block Allequippa St Pittsburgh, PA 15213",N,Terrace Village,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,510,,,0,0
224028309,20059382,6,2020-03-26T17:06:00,"1000 Block Blackadore St Pittsburgh, PA 15221",N,Homewood North,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1301,9,2,-79.8831948025402,40.4576722741287
224033153,20059451,14,2020-03-26T17:00:00,"400 Block Village Rd Pittsburgh, PA 15205",N,Fairywood,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2808,2,5,-80.0785485234587,40.4505137089376
224036233,20059499,10,2020-03-26T19:45:00,"2900 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2614,6,1,-80.0111836603721,40.4705076955718
224037221,20059483,10,2020-03-26T18:37:00,"1200 Block S Negley Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1402,8,3,-79.9274437180504,40.4458200774905
224038908,20059545,10,2020-03-26T20:29:00,"Carrick Ave Pittsburgh, PA 15210",N,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2904,4,3,-79.9833043756295,40.3870911957194
224041664,20059553,4,2020-03-26T21:05:00,"2600 Block Linwood Ave & Luray St Pittsburgh, PA 15214",N,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 3304 Criminal Mischief.,2615,6,1,-80.0139598879553,40.4698829998954
224108305,20060870,0,2020-03-29T01:26:00,"100 Block Kimberly Dr Johnstown, PA 15904",Y,Outside State,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),7799,,,0,0
224110642,20060889,4,2020-03-29T02:25:00,"Washington Blvd & Allegheny River Blvd Pittsburgh, PA 15206",Y,Highland Park,5,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3736 Reckless Driving / 907 Possessing Instruments of Crime. / 903 Criminal Conspiracy. / 607.03 Discharging Firearm or Airgun / 2707 Propulsion of Missiles  / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 903 Criminal Conspiracy.,1106,7,2,-79.9078496292392,40.4842769808723
224121243,20061035,29,2020-03-29T10:47:00,"2000 Block Fairlawn St Pittsburgh, PA 15221",N,East Hills,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1306,9,2,-79.870082490458,40.4503575260423
224130643,20061292,6,2020-03-29T17:30:00,"600 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-79.9989780720766,40.4539777944947
224133388,20061387,23,2020-03-29T20:10:00,"200 Block Jucunda St Pittsburgh, PA 15210",Y,Knoxville,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,3001,3,5,-79.9910522325694,40.417190555006
224222976,20062678,4,2020-04-01T02:17:00,"700 Block Johnston Ave Pittsburgh, PA 15207",Y,Glen Hazel,4,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2706 Terroristic Threats.,1504,5,3,-79.933455881494,40.4058050814661
224228219,20062757,6,2020-03-31T00:01:00,"300 Block Craft Ave Pittsburgh, PA 15213",N,South Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",409,3,3,-79.9613530522747,40.4353578534006
224231388,20062780,0,2020-04-01T08:44:00,"100 Block Greenfield Ave Pittsburgh, PA 15207",N,Greenfield,4,99,9999 9999 - (Misc. Incident): Civil Matter,1516,5,3,-79.9301550000303,40.4222648807731
224232796,20062802,14,2020-04-01T07:10:00,"4400 Block Forbes Ave Pittsburgh, PA 15213",N,North Oakland,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,404,8,3,-79.9491020730779,40.4437064529995
224235050,20062818,6,2020-03-28T23:00:00,"2600 Block S 18th St Pittsburgh, PA 15210",N,South Side Slopes,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,1706,3,3,-79.9852869177147,40.4210724620971
224240970,20062839,6,2020-04-01T10:00:00,"7600 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,THEFT FROM AUTO,3934 Theft from Vehicle,1304,9,2,-79.8921614763654,40.4510080914674
224241804,20062853,6,2020-03-30T07:30:00,"100 Block Lytton Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,403,8,3,-79.954633101577,40.4461006201583
224245880,20062915,0,2020-04-01T11:20:00,"200 Block 36th St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,99,9999 9999 - (Misc. Incident): Scam Call,603,7,2,-79.9647207741123,40.4652737433191
224249835,20062951,27,2020-04-01T12:16:00,"Murray Ave & Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1408,5,3,-79.9228362821829,40.4347617597849
224276267,20060112,99,2020-03-27T19:27:00,"Sebring Blvd & Dagmar Ave Pittsburgh, PA 15216",N,Beechview,6,FIELD CONTACT REPORT,9500 Conversion - Field Contact Report,1916,4,5,-80.022971434961,40.4130530927588
224279594,20063160,6,2020-04-01T20:48:00,"5700 Block Baum Blvd Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,7,2,-79.933785260738,40.4583618995454
224284121,20063241,10,2020-04-01T23:27:00,"300 Block Fort Duquesne Blvd Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,201,,,0,0
224421955,20065999,99,2020-04-06T15:13:00,"Watson St & Seneca St Pittsburgh, PA 15219",N,Bluff,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,103,6,3,-79.9759233690989,40.4377135683106
224431068,20066230,10,2020-04-06T22:22:00,"80 Block Beltzhoover Ave Pittsburgh, PA 15210",N,Allentown,3,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1803,3,5,-79.9976766293646,40.423003969768
224459230,20059184,9,2020-03-26T12:40:00,"Falck Ave & Kalorama Way Pittsburgh, PA 15212",Y,Brighton Heights,2,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 4303 General Lighting Requirements.,501,1,1,-80.0391914928053,40.4782730072995
224461135,20066483,10,2020-04-07T11:49:00,"600 Block Seagrit St Pittsburgh, PA 15221",Y,East Hills,5,SIMPLE ASSAULT,2701 Simple Assault.,1306,9,2,-79.8790595903053,40.4520571712353
224475156,20066645,11,2020-04-06T23:00:00,"4100 Block Willow St Pittsburgh, PA 15201",N,Central Lawrenceville,2,THEFT BY DECEPTION,3922 Theft by Deception.,901,7,2,-79.9641136568281,40.4715204441589
224078143,20059974,99,2020-03-27T12:00:00,"300 Block S Main St Pittsburgh, PA 15220",N,West End,6,DRUG INVESTIGATION,9124 Drug Investigation,2019,7,2,-79.9579476679689,40.4673830136992
224093381,20060417,6,2020-03-28T09:00:00,"1300 Block Sherman Ave Pittsburgh, PA 15212",N,Central North Side,1,THEFT FROM AUTO,3934 Theft from Vehicle,2206,1,1,-80.0099686460857,40.4564497203187
224095368,20060553,0,2020-03-28T14:00:00,"1600 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE,2902,4,3,-79.9890669688938,40.3998045691587
224101180,20060699,99,2020-03-28T19:09:00,"1000 Block Hall St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,AIDED CASE,9497 Aided Case,2715,,,0,0
224101811,20060744,6,2020-03-28T20:16:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,,,0,0
224119554,20060996,14,2020-03-29T09:20:00,"200 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,3001,,,0,0
224124456,20061078,6,2020-03-29T12:00:00,"700 Block N St Clair St Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle,1113,9,2,-79.9247650987995,40.469097696132
224132545,20061337,4,2020-03-29T19:58:00,"3300 Block Allendale St Pittsburgh, PA 15204",Y,Sheraden,6,AGG-ASSAULT,2702 Aggravated Assault.,2022,2,5,-80.0622149142966,40.4567415489552
224162689,20061926,6,2020-03-30T19:07:00,"5200 Block Penn Ave Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,809,7,2,-79.9393754845713,40.464224288347
224166167,20061965,99,2020-03-30T20:45:00,"7400 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1301,9,2,-79.8904194323559,40.4601030946679
224202291,20062289,10,2020-03-31T12:10:00,"1100 Block Goettmann St Pittsburgh, PA 15212",N,Troy Hill,1,SIMPLE ASSAULT,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2406,,,0,0
224213165,20062385,99,2020-03-31T15:00:00,"700 Block Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1504,5,3,-79.933455881494,40.4058050814661
224219796,20062568,0,2020-03-31T20:46:00,"20 Block Woodville Ave Pittsburgh, PA 15220",N,West End,6,99,9998 Overdose Other,2019,2,5,-80.0338347262987,40.4348301736524
224246068,20062892,6,2020-04-01T11:59:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-80.0009078039902,40.4508935599436
-3421000130,20063351,99,2020-04-02T04:22:00,"1900 Block Meadville St Pittsburgh, PA 15214",N,Fineview,1,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,2509,1,1,-80.0055734292978,40.4626204512902
224289483,20063423,6,2020-04-02T08:23:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1702,3,3,-79.976432641371,40.4303408118696
224299166,20063482,10,2020-03-15T12:00:00,"5600 Block East Liberty Blvd Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment. / 3922 Theft by Deception.,1113,9,2,-79.9281394599667,40.4676773141405
-3444000299,20063660,27,2020-04-02T15:30:00,"E Carson St & S 7th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9922421320497,40.428625654172
224325008,20063992,99,2020-04-03T02:22:00,"4300 Block Tesla St Pittsburgh, PA 15217",N,Greenfield,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1517,5,3,-79.9367118444819,40.4210772190855
224332938,20064106,99,2020-04-03T10:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,DRUG INVESTIGATION,9124 Drug Investigation,1106,9,2,-79.9086166765251,40.4703056329977
224334636,20064142,6,2020-03-31T18:45:00,"3000 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2022,2,5,-80.058481942609,40.4545060858459
224351852,20064427,6,2020-04-03T18:00:00,"6600 Block Ridgeville St Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1403,8,3,-79.9151741504444,40.4434294790811
224352557,20064401,0,2020-04-03T16:00:00,"6th Ave & Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,99,2709(a)(2) Harassment by Following Person in Public Place(s),201,6,6,-79.9977344808488,40.4414644213446
224355224,20064487,99,2020-04-03T20:30:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.0016237646793,40.4417809547139
224355981,20064503,99,2020-04-03T21:19:00,"3700 Block California Ave Pittsburgh, PA 15212",N,Brighton Heights,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2701,1,1,-80.0417421268964,40.4819321642294
224359837,20064549,99,2020-04-04T00:02:00,"4000 Block Woolslayer Way Pittsburgh, PA 15224",Y,Bloomfield,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),903,7,2,-79.9578070288105,40.4647217141404
224360881,20064572,10,2020-04-04T01:14:00,"600 Block Rising Main Ave Pittsburgh, PA 15212",N,Fineview,1,SIMPLE ASSAULT,2701 Simple Assault.,2509,,,0,0
-3420001348,20067112,14,2020-04-08T12:40:00,"5500 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,CRIM MISCHIEF,3304 Criminal Mischief. / 3503 Criminal Trespass,1515,5,3,-79.9406010250657,40.4009369843009
224512100,20067501,6,2020-04-09T02:16:00,"2200 Block Osgood St Pittsburgh, PA 15214",Y,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2614,6,1,-80.0073267300462,40.4664439982503
224512185,20067524,6,2020-04-09T03:20:00,"2400 Block Maple Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,6,1,-80.0086967639394,40.4678246191756
224519129,20067559,99,2020-04-09T04:15:00,"7200 Block Finance St Pittsburgh, PA 15208",Y,Homewood South,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1303,9,2,-79.8985777343833,40.4530270460616
224145337,20061637,99,2020-03-30T08:45:00,"3100 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,2715,1,1,-80.0288329008862,40.4739359255242
224172883,20062006,10,2020-03-30T22:00:00,"2900 Block Merwyn Ave Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2018,2,5,-80.0504243954382,40.45572961317
224173854,20062024,99,2020-03-31T01:38:00,"200 Block Carver St Pittsburgh, OH 15206",N,Larimer,5,MENTAL 201/302,9498 302 (Mental),1208,9,2,-79.9130505271479,40.4628177712665
224191854,20061697,10,2020-03-30T10:20:00,"300 Block Grant St Pittsburgh, PA 15219",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201,6,6,-79.9979301341696,40.4378124774382
-3270014217,20062189,99,2020-03-31T09:08:00,"100 Block Sunbeam Way Pittsburgh, PA 15234",N,Overbrook,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3207,,,0,0
224199100,20062251,0,2020-03-31T10:30:00,"300 Block Goldbach St Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Illegal Dumping,1603,3,3,-79.9697300090477,40.4145717095542
224213281,20062480,99,2020-03-31T19:01:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
224285404,20063384,6,2020-04-02T06:30:00,"2400 Block Eccles St Pittsburgh, PA 15210",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,3,3,-79.9727768299667,40.4179901441321
224286063,20062957,6,2020-03-30T08:00:00,"3000 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2018,,,0,0
224286278,20063394,6,2020-04-02T06:00:00,"20 Block Gregory St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1706,3,3,-79.9807761370493,40.4240317462327
224286512,20063405,6,2020-04-02T07:30:00,"Forbes Ave & Pride St Pittsburgh, PA 15219",N,Bluff,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,103,6,3,-79.9851440877731,40.4376660112177
224290109,20063450,14,2020-04-02T08:00:00,"700 Block Chislett St Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1113,9,2,-79.9303475983034,40.4713124875654
224293625,20063502,14,2020-04-02T10:30:00,"6700 Block Thomas Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1405,9,2,-79.9113892120973,40.4546296288153
224296392,20063517,6,2020-04-02T11:18:00,"2900 Block Merwyn Ave Pittsburgh, PA 15204",N,Sheraden,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2018,2,5,-80.0504243954382,40.45572961317
224296826,20063528,6,2020-03-18T23:00:00,"Suncrest St & Brownsville Rd Pittsburgh, PA 15210",N,Knoxville,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",3001,,,-79.9903529605142,40.4104172351457
224298911,20063519,14,2020-04-02T10:30:00,"7000 Block Kedron St Pittsburgh, PA 15208",N,Homewood North,5,CRIM MISCHIEF,3304 Criminal Mischief.,1301,9,2,-79.8996769710782,40.461798849195
224300222,20063533,6,2020-04-01T15:00:00,"1000 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood North,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1301,9,2,-79.887729584877,40.4565467004881
224301911,20058966,99,2020-03-25T10:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,DRUG INVESTIGATION,9124 Drug Investigation,1106,9,2,-79.9086166765251,40.4703056329977
224303235,20063550,6,2020-04-02T11:00:00,"Fort Duquesne Blvd & 9th St Pittsburgh, PA 15222",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,201,6,6,-79.9990181954722,40.4451941710103
224303333,20063492,10,2020-04-02T10:56:00,"Tecumseh St Pittsburgh, PA 15207",Y,Hazelwood,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 1543 Driving While Operating Privilege is Suspended or Revoked.",1501,5,3,-79.9467368307644,40.407954635036
224303979,20063562,6,2020-04-02T12:15:00,"Fort Duquesne Blvd & 9th St Pittsburgh, PA 15222",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,201,6,6,-79.9990181954722,40.4451941710103
224304563,20063601,6,2020-03-30T13:00:00,"2300 Block Noblestown Rd Pittsburgh, PA ",N,Oakwood,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2812,2,5,-80.0543527688347,40.4278403004268
224308004,20063656,11,2020-04-02T13:00:00,"800 Block N St Clair St Pittsburgh, PA 15206",N,Highland Park,5,THEFT BY DECEPTION,3922 Theft by Deception.,1102,7,2,-79.924006475744,40.4707603988524
224311155,20063644,29,2020-04-02T14:00:00,"5100 Block Kincaid St Pittsburgh, PA 15224",N,Garfield,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1017,9,2,-79.942319095013,40.4672035276869
-3262002424,20064573,0,2020-04-03T23:26:00,"2700 Block Zephyr Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2018,2,5,-80.0493591534742,40.4530292535525
224371100,20064745,0,2020-04-04T11:27:00,"2100 Block Rhine St Pittsburgh, PA 15212",N,Spring Hill-City View,1,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2620,1,1,-79.9936801964597,40.4666247323612
224373127,20064857,6,2020-04-04T15:00:00,"200 Block Swope St Pittsburgh, PA 15206",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,708,,,0,0
224374142,20064877,10,2020-04-04T11:00:00,"2500 Block West Liberty Ave Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief.",1919,4,5,-80.0254967571288,40.3991926113208
224379987,20065081,6,2020-04-04T21:45:00,"3200 Block Niagara St Pittsburgh, PA 15213",N,South Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,409,3,3,-79.9604312147515,40.4339267078699
-3420001331,20064692,0,2020-04-04T10:19:00,"4200 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,99,9999 9999 - (Misc. Incident): ,1517,5,3,-79.9286739194019,40.423189692055
224389202,20065316,99,2020-04-05T11:03:00,"N Canal St & Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2304,1,1,-80.0009097948779,40.4508649417697
224390260,20065318,99,2020-04-05T11:17:00,"400 Block Beltzhoover Ave Pittsburgh, PA 15210",N,Beltzhoover,3,MENTAL 201/302,9498 302 (Mental),1809,3,5,-79.9975170577404,40.4190222319413
224390723,20065337,0,2020-04-05T12:07:00,"3200 Block Mc Clure Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): Family dispute,2703,1,1,-80.0348626165511,40.4742503921227
224394373,20057480,0,2020-03-23T19:37:00,"4700 Block Baum Blvd Pittsburgh, PA 15213",N,Bloomfield,5,99,1543 Driving While Operating Privilege is Suspended or Revoked. / 3742.1 Accident Involv. Death/Inj. While not Licensed / 3742 Accidents Involving Death or Personal Injury,804,,,0,0
224394898,20065550,99,2020-04-05T19:53:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",N,Point Breeze North,4,AIDED CASE,9497 Aided Case,1405,9,2,-79.8928013971768,40.4496546331193
224394936,20065548,3,2020-04-05T19:50:00,"3300 Block Milwaukee St Pittsburgh, PA 15219",N,Upper Hill,2,ROBBERY,3701 Robbery.,506,6,3,-79.9643594181955,40.4523026624358
224585701,20068775,10,2020-04-11T06:08:00,"2100 Block Los Angeles Ave Pittsburgh, PA 15216",Y,Beechview,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1920,4,5,-80.0289608187392,40.4051392898661
224591850,20068844,99,2020-04-11T10:24:00,"50 Block 11th St Pittsburgh, PA 15219",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,3,3,-79.9876755376991,40.428967496273
224595239,20068958,0,2020-04-11T14:16:00,"300 Block Winders St Pittsburgh, PA 15207",N,Hazelwood,4,99,9998 Overdose Other,1501,,,0,0
224602567,20069094,99,2020-04-11T19:09:00,"100 Block Minooka Ter Pittsburgh, PA 15210",N,Carrick,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2901,4,3,-79.9922828706383,40.4034948544979
224283751,20063300,18,2020-04-02T01:57:00,"100 Block E Amanda Ave Pittsburgh, PA 15210",Y,Knoxville,3,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 3308 One-Way Roadways and Rotary Traffic Islands. / 1574 Permitting Unauthorized Person to Drive. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.,3001,4,3,-79.988436607001,40.4008838787087
224284527,20063379,99,2020-04-02T05:00:00,"East Liberty Blvd & Larimer Ave Pittsburgh, PA 15206",Y,East Liberty,5,FOUND PROPERTY,9489 Found Property,1115,9,2,-79.9174214014291,40.463436043491
224304306,20063543,3,2020-04-02T12:30:00,"Comer St Pittsburgh, PA 15207",Y,Hays,4,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2707.1 Discharge of a Firearm into Occupied Structure / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 7512 Criminal Use of Communication / 6110.1 Possesion of Firearm by Minor / 901 Criminal Attempt,3101,5,3,-79.9351319856513,40.380422045904
224309963,20063622,99,2020-04-02T14:18:00,"400 Block Taylor St Pittsburgh, PA 15224",N,Bloomfield,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),802,7,2,-79.9520125454327,40.4614125314475
224314205,20063745,3,2020-04-02T17:35:00,"unknown Pittsburgh, PA ",N,South Side Flats,3,ROBBERY,3701 Robbery. / 2702 Aggravated Assault.,1702,,,0,0
224319798,20063828,18,2020-04-02T19:51:00,"2700 Block Bergman St Pittsburgh, PA 15204",Y,Sheraden,6,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,2018,2,5,-80.0513900258859,40.4529446085619
224321589,20063907,10,2020-04-02T22:00:00,"North Side area Pittsburgh, PA 15212",Y,California-Kirkbride,1,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,2507,,,0,0
224313443,20063690,99,2020-04-02T17:10:00,"3900 Block California Ave Pittsburgh, PA 15212",N,Brighton Heights,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2701,1,1,-80.0419777670235,40.4853326049269
